,CC_As,Nombres_As,Apellidos_As,Correo_As,Genero_As,Telefono_As,Fecha_Naci_As,Edad_As,Estado_As,Estado_Gratui_As,Estado_Civil_As,Id_Us
13,286513171,Pedro Teodosio,Andres Castellanos,pedro.andres@hotmail.com,M,0913881847,2006-08-29,16,Inactivo,Perdida gratuidad temporal,Divorciado,711f099a-74f4-11ed-8667-0242ac1c000c
14,2401952576,Nydia Asunción,Sánchez Lloret,nydia.sánchez@hotmail.com,F,0936566274,2006-05-22,16,Inactivo,Perdida gratuidad temporal,Casado/a,711f09ea-74f4-11ed-8667-0242ac1c000c
15,1077861199,Rogelio José,Prats Castellanos,rogelio.prats@hotmail.com,M,0907129213,2006-01-06,16,Activo,Perdida gratuidad temporal,Casado/a,711f0a30-74f4-11ed-8667-0242ac1c000c
16,381474118,Loida Anabel,Amores Moll,loida.amores@hotmail.com,F,0928761374,1990-08-13,32,Inactivo,Sin gratuidad,Viudo/a,711f0a80-74f4-11ed-8667-0242ac1c000c
17,2313828667,Matías Pascual,Araujo Menendez,matías.araujo@hotmail.com,M,0979205021,2000-12-11,21,Activo,Perdida gratuidad temporal,Casado/a,711f0ac6-74f4-11ed-8667-0242ac1c000c
18,1541003735,Julieta Maricruz,Estrada Soriano,julieta.estrada@hotmail.com,F,0909979284,2004-01-29,18,Inactivo,Sin gratuidad,Divorciado,711f0b20-74f4-11ed-8667-0242ac1c000c
19,2273290400,Edu Omar,Prieto Bárcena,edu.prieto@hotmail.com,M,0900949276,2001-05-04,21,Inactivo,Sin gratuidad,Divorciado,711f0b7a-74f4-11ed-8667-0242ac1c000c
20,888969435,Carla Vilma,Torrent Ramos,carla.torrent@hotmail.com,F,0994374684,1990-03-30,32,Activo,Sin gratuidad,Viudo/a,711f0bde-74f4-11ed-8667-0242ac1c000c
21,1864072627,Noemí Juana,Bernal Arnal,noemí.bernal@hotmail.com,F,0948800710,1995-07-27,27,Activo,Gratuidad,Casado/a,711f0c2e-74f4-11ed-8667-0242ac1c000c
22,1471304968,Fortunata Encarnita,Ponce Estevez,fortunata.ponce@hotmail.com,F,0990626793,2006-09-20,16,Inactivo,Gratuidad,Casado/a,711f0c7e-74f4-11ed-8667-0242ac1c000c
23,288099631,José Mari Glauco,Iñiguez Abascal,josé mari.iñiguez@hotmail.com,M,0999422768,1988-12-03,34,Inactivo,Gratuidad,Viudo/a,711f0cce-74f4-11ed-8667-0242ac1c000c
24,692761306,Onofre Godofredo,Sala Cabanillas,onofre.sala@hotmail.com,M,0990393712,1988-07-24,34,Inactivo,Gratuidad,Divorciado,711f0d1e-74f4-11ed-8667-0242ac1c000c
25,1801326030,Luis Ángel Federico,Juliá Fernandez,luis ángel.juliá@hotmail.com,M,0958906533,2001-09-18,21,Inactivo,Gratuidad,Soltero/a,711f0d64-74f4-11ed-8667-0242ac1c000c
26,1839199889,Áurea Ainoa,Flor Ayala,áurea.flor@hotmail.com,F,0936223587,1983-03-24,39,Inactivo,Perdida gratuidad temporal,Divorciado,711f0db4-74f4-11ed-8667-0242ac1c000c
27,1727341716,Jaime Espiridión,Rojas Lobato,jaime.rojas@hotmail.com,M,0977272155,2002-06-26,20,Inactivo,Sin gratuidad,Viudo/a,711f0dfa-74f4-11ed-8667-0242ac1c000c
28,468978914,Eliseo Saturnino,Boix Gordillo,eliseo.boix@hotmail.com,M,0942304391,2001-03-09,21,Inactivo,Perdida gratuidad temporal,Soltero/a,711f0e54-74f4-11ed-8667-0242ac1c000c
29,228573348,Vanesa Zoraida,Enríquez Campoy,vanesa.enríquez@hotmail.com,F,0903475628,2003-05-07,19,Inactivo,Sin gratuidad,Divorciado,711f0ea4-74f4-11ed-8667-0242ac1c000c
30,1794304811,Martín Chuy,Abellán Mur,martín.abellán@hotmail.com,M,0995952280,1983-10-05,39,Inactivo,Gratuidad,Viudo/a,711f0ef4-74f4-11ed-8667-0242ac1c000c
31,631000669,Florencio Carmelo,Millán Cabrero,florencio.millán@hotmail.com,M,0988022397,1998-01-25,24,Inactivo,Sin gratuidad,Casado/a,711f0f44-74f4-11ed-8667-0242ac1c000c
32,1121218881,Maricruz Eligia,Romeu Gomez,maricruz.romeu@hotmail.com,F,0984014065,1984-08-05,38,Activo,Sin gratuidad,Viudo/a,711f0f94-74f4-11ed-8667-0242ac1c000c
33,679555258,Anabel Odalis,Agustín Parra,anabel.agustín@hotmail.com,F,0931690568,1996-10-06,26,Activo,Sin gratuidad,Soltero/a,711f0fe4-74f4-11ed-8667-0242ac1c000c
34,1752486298,Prudencio Mauricio,Asenjo Arrieta,prudencio.asenjo@hotmail.com,M,0901121409,1994-01-17,28,Activo,Gratuidad,Divorciado,711f102a-74f4-11ed-8667-0242ac1c000c
35,1570444985,Édgar Federico,Gracia Pascual,édgar.gracia@hotmail.com,M,0935859040,1997-09-16,25,Inactivo,Gratuidad,Viudo/a,711f107a-74f4-11ed-8667-0242ac1c000c
36,1496406270,Trini Mireia,Buendía Perea,trini.buendía@hotmail.com,F,0999953057,1987-02-02,35,Activo,Perdida gratuidad temporal,Viudo/a,711f10ca-74f4-11ed-8667-0242ac1c000c
37,1013763951,Renata Javiera,Pedrosa Busquets,renata.pedrosa@hotmail.com,F,0969769662,1988-05-18,34,Inactivo,Gratuidad,Union Libre,711f111a-74f4-11ed-8667-0242ac1c000c
38,443224628,Selena Tere,Torralba Salinas,selena.torralba@hotmail.com,F,0926352342,1989-06-19,33,Activo,Perdida gratuidad temporal,Divorciado,711f1174-74f4-11ed-8667-0242ac1c000c
39,257430415,Omar Teófilo,Casals Garriga,omar.casals@hotmail.com,M,0911846585,1994-01-29,28,Inactivo,Sin gratuidad,Divorciado,711f11c4-74f4-11ed-8667-0242ac1c000c
40,2319271962,Desiderio Tiburcio,Tolosa Valenciano,desiderio.tolosa@hotmail.com,M,0924815821,1993-11-24,29,Activo,Perdida gratuidad temporal,Soltero/a,711f121e-74f4-11ed-8667-0242ac1c000c
41,1545376920,Delfina Candela,Arroyo Sobrino,delfina.arroyo@hotmail.com,F,0910808027,1984-06-14,38,Inactivo,Gratuidad,Casado/a,711f1278-74f4-11ed-8667-0242ac1c000c
42,810636897,Abigaíl Ale,Infante Téllez,abigaíl.infante@hotmail.com,F,0932272243,2004-05-23,18,Inactivo,Sin gratuidad,Viudo/a,711f12c8-74f4-11ed-8667-0242ac1c000c
43,2130546445,Silvio Heliodoro,Valero Llopis,silvio.valero@hotmail.com,M,0972922880,2002-09-08,20,Inactivo,Sin gratuidad,Casado/a,711f1318-74f4-11ed-8667-0242ac1c000c
44,590440983,Griselda Andrea,Heras Cervera,griselda.heras@hotmail.com,F,0981621989,1990-03-18,32,Activo,Gratuidad,Union Libre,711f1368-74f4-11ed-8667-0242ac1c000c
45,299683491,Natividad Luna,Jáuregui Rodriguez,natividad.jáuregui@hotmail.com,F,0954750893,1983-03-14,39,Inactivo,Sin gratuidad,Divorciado,711f13c2-74f4-11ed-8667-0242ac1c000c
46,2255552638,Fortunata Amarilis,García Rosell,fortunata.garcía@hotmail.com,F,0940798475,1986-09-13,36,Inactivo,Gratuidad,Casado/a,711f1408-74f4-11ed-8667-0242ac1c000c
47,256943930,Pía Eufemia,Cañete Vera,pía.cañete@hotmail.com,F,0931158911,1995-12-22,26,Inactivo,Gratuidad,Divorciado,711f146c-74f4-11ed-8667-0242ac1c000c
48,1822748330,Brígida Leyre,Mendizábal Menéndez,brígida.mendizábal@hotmail.com,F,0909516546,2000-05-24,22,Activo,Sin gratuidad,Casado/a,711f14bc-74f4-11ed-8667-0242ac1c000c
49,1401097109,Gracia Adela,Ferrán Marqués,gracia.ferrán@hotmail.com,F,0947079931,2006-10-03,16,Activo,Sin gratuidad,Viudo/a,711f150c-74f4-11ed-8667-0242ac1c000c
50,2078223255,Fermín Paco,Bravo Suárez,fermín.bravo@hotmail.com,M,0957504731,1997-11-26,25,Inactivo,Perdida gratuidad temporal,Divorciado,711f1552-74f4-11ed-8667-0242ac1c000c
51,566902920,Ágata Nuria,Aragonés Comas,ágata.aragonés@hotmail.com,F,0941016865,1982-03-26,40,Inactivo,Perdida gratuidad temporal,Casado/a,711f1598-74f4-11ed-8667-0242ac1c000c
52,153847991,Paz Maite,Rivero Seguí,paz.rivero@hotmail.com,F,0944523633,1991-06-23,31,Inactivo,Sin gratuidad,Soltero/a,711f15e8-74f4-11ed-8667-0242ac1c000c
53,776168813,Fortunata María Teresa,Blanch Puente,fortunata.blanch@hotmail.com,F,0940310492,2004-08-13,18,Inactivo,Perdida gratuidad temporal,Divorciado,711f162e-74f4-11ed-8667-0242ac1c000c
54,709007966,Mirta Hilda,Sosa Acuña,mirta.sosa@hotmail.com,F,0995257501,1989-09-18,33,Inactivo,Perdida gratuidad temporal,Union Libre,711f167e-74f4-11ed-8667-0242ac1c000c
55,138202170,Maricruz Gema,Morante Salamanca,maricruz.morante@hotmail.com,F,0927335250,2006-10-11,16,Activo,Gratuidad,Union Libre,711f16c4-74f4-11ed-8667-0242ac1c000c
56,2090642701,Wálter Apolinar,Talavera Tamayo,wálter.talavera@hotmail.com,M,0955585195,1987-12-24,34,Activo,Gratuidad,Casado/a,711f171e-74f4-11ed-8667-0242ac1c000c
57,1973237016,Jacobo Florentino,Mendizábal Ricart,jacobo.mendizábal@hotmail.com,M,0983094224,1999-08-19,23,Activo,Gratuidad,Casado/a,711f1764-74f4-11ed-8667-0242ac1c000c
58,2145902972,Remedios Adelina,Tomás Herranz,remedios.tomás@hotmail.com,F,0979919772,1980-08-18,42,Activo,Sin gratuidad,Soltero/a,711f17aa-74f4-11ed-8667-0242ac1c000c
59,1154731715,Borja Pelayo,Buendía Benavente,borja.buendía@hotmail.com,M,0901935135,1982-02-16,40,Activo,Sin gratuidad,Union Libre,711f180e-74f4-11ed-8667-0242ac1c000c
60,195760985,Judith Cruz,Colomer Uribe,judith.colomer@hotmail.com,F,0958813328,2002-01-11,20,Activo,Sin gratuidad,Viudo/a,711f1854-74f4-11ed-8667-0242ac1c000c
61,401962456,Silvia Edelmira,Tur Pi,silvia.tur@hotmail.com,F,0975163853,2000-11-08,22,Inactivo,Sin gratuidad,Union Libre,711f189a-74f4-11ed-8667-0242ac1c000c
62,1999168261,Ramona Sara,Velasco Mínguez,ramona.velasco@hotmail.com,F,0942787094,1989-12-09,32,Inactivo,Sin gratuidad,Soltero/a,711f18ea-74f4-11ed-8667-0242ac1c000c
63,1671064109,Marisa Florentina,Benito Valera,marisa.benito@hotmail.com,F,0999143873,1987-03-05,35,Activo,Sin gratuidad,Union Libre,711f193a-74f4-11ed-8667-0242ac1c000c
64,1172828247,Joan Cirino,Manrique Pomares,joan.manrique@hotmail.com,M,0971520176,1993-03-13,29,Inactivo,Gratuidad,Soltero/a,711f1980-74f4-11ed-8667-0242ac1c000c
65,571280811,Juanita Coral,Escolano Posada,juanita.escolano@hotmail.com,F,0959864135,1993-05-25,29,Inactivo,Gratuidad,Union Libre,711f1be2-74f4-11ed-8667-0242ac1c000c
66,1914275511,Jennifer Encarnación,Vera Cano,jennifer.vera@hotmail.com,F,0995746524,1999-11-30,23,Activo,Perdida gratuidad temporal,Casado/a,711f1c5a-74f4-11ed-8667-0242ac1c000c
67,618134343,María Teresa Amarilis,Roura Barrio,maría teresa.roura@hotmail.com,F,0995120327,1982-06-14,40,Activo,Sin gratuidad,Viudo/a,711f1caa-74f4-11ed-8667-0242ac1c000c
68,2225461774,Casemiro Hernando,Ibáñez Valera,casemiro.ibáñez@hotmail.com,M,0954570208,1990-10-24,32,Inactivo,Perdida gratuidad temporal,Viudo/a,711f1cf0-74f4-11ed-8667-0242ac1c000c
69,1148486979,Teodoro Fernando,Sarmiento Muro,teodoro.sarmiento@hotmail.com,M,0954885873,1995-08-05,27,Inactivo,Sin gratuidad,Divorciado,711f1d4a-74f4-11ed-8667-0242ac1c000c
70,274245036,Ariel Samuel,Sainz Pombo,ariel.sainz@hotmail.com,M,0928349187,1999-01-18,23,Inactivo,Gratuidad,Viudo/a,711f1dc2-74f4-11ed-8667-0242ac1c000c
71,1987544879,Osvaldo Yago,Morales España,osvaldo.morales@hotmail.com,M,0999743616,2003-01-02,19,Inactivo,Sin gratuidad,Casado/a,711f1e1c-74f4-11ed-8667-0242ac1c000c
72,2187945133,Ignacia Jordana,Pacheco Fabra,ignacia.pacheco@hotmail.com,F,0905735102,1986-02-08,36,Inactivo,Perdida gratuidad temporal,Viudo/a,711f1e62-74f4-11ed-8667-0242ac1c000c
73,1413197690,Pascuala Noa,Rebollo Acedo,pascuala.rebollo@hotmail.com,F,0963779626,1994-02-24,28,Activo,Sin gratuidad,Casado/a,711f1ebc-74f4-11ed-8667-0242ac1c000c
74,1529950585,Leopoldo Javier,Piquer Roma,leopoldo.piquer@hotmail.com,M,0968460114,2006-10-11,16,Inactivo,Perdida gratuidad temporal,Soltero/a,711f1f0c-74f4-11ed-8667-0242ac1c000c
75,1434092684,Fabricio Valero,Rocamora Verdejo,fabricio.rocamora@hotmail.com,M,0958818458,1993-07-30,29,Activo,Sin gratuidad,Union Libre,711f1f5c-74f4-11ed-8667-0242ac1c000c
76,1988780707,Felix Bernardino,Jove Pombo,felix.jove@hotmail.com,M,0971236666,1988-08-14,34,Activo,Perdida gratuidad temporal,Union Libre,711f1fac-74f4-11ed-8667-0242ac1c000c
77,1379687967,Adelia Zaira,Blazquez Olivera,adelia.blazquez@hotmail.com,F,0912060587,2006-10-26,16,Inactivo,Gratuidad,Viudo/a,711f1ff2-74f4-11ed-8667-0242ac1c000c
78,2074791349,Antonia Rita,Villaverde Morante,antonia.villaverde@hotmail.com,F,0958387746,1983-11-29,39,Inactivo,Gratuidad,Union Libre,711f2038-74f4-11ed-8667-0242ac1c000c
79,814226950,Sebastián Erasmo,Valle Solano,sebastián.valle@hotmail.com,M,0905649422,2005-01-01,17,Activo,Gratuidad,Union Libre,711f209c-74f4-11ed-8667-0242ac1c000c
80,239362254,Ángel Marcelino,Mosquera Valencia,ángel.mosquera@hotmail.com,M,0938306072,2005-03-13,17,Inactivo,Perdida gratuidad temporal,Viudo/a,711f20e2-74f4-11ed-8667-0242ac1c000c
81,1977330706,Candelario Roldán,Aragón Olivé,candelario.aragón@hotmail.com,M,0920726997,2002-04-04,20,Activo,Sin gratuidad,Union Libre,711f2128-74f4-11ed-8667-0242ac1c000c
82,467658007,Jimena Bibiana,Rodriguez Figuerola,jimena.rodriguez@hotmail.com,F,0956419113,2001-02-13,21,Activo,Perdida gratuidad temporal,Divorciado,711f2182-74f4-11ed-8667-0242ac1c000c
83,1737982492,Miguel Ángel Alberto,Alegria Redondo,miguel ángel.alegria@hotmail.com,M,0914483851,1987-03-13,35,Activo,Perdida gratuidad temporal,Divorciado,711f21d2-74f4-11ed-8667-0242ac1c000c
84,1952077824,Marciano Gerardo,Bermejo Peiró,marciano.bermejo@hotmail.com,M,0936200971,2004-02-19,18,Activo,Gratuidad,Viudo/a,711f2218-74f4-11ed-8667-0242ac1c000c
85,817343448,Blas Alejandro,Antúnez Bermúdez,blas.antúnez@hotmail.com,M,0966665174,1989-10-24,33,Inactivo,Sin gratuidad,Divorciado,711f2268-74f4-11ed-8667-0242ac1c000c
86,1646713456,Moreno Gonzalo,Agustí Vilaplana,moreno.agustí@hotmail.com,M,0926463914,1998-09-08,24,Inactivo,Gratuidad,Union Libre,711f22b8-74f4-11ed-8667-0242ac1c000c
87,516945291,Primitivo Marino,Ledesma Belda,primitivo.ledesma@hotmail.com,M,0940992074,1986-02-20,36,Activo,Sin gratuidad,Soltero/a,711f2326-74f4-11ed-8667-0242ac1c000c
88,1143104050,Olalla Águeda,Ayuso Galvez,olalla.ayuso@hotmail.com,F,0920270526,1987-03-10,35,Inactivo,Perdida gratuidad temporal,Soltero/a,711f2376-74f4-11ed-8667-0242ac1c000c
89,2305527697,Ale Albina,Fuente Cal,ale.fuente@hotmail.com,F,0953092659,2004-09-09,18,Activo,Perdida gratuidad temporal,Viudo/a,711f23c6-74f4-11ed-8667-0242ac1c000c
90,360791261,Artemio Ceferino,Gallo Segura,artemio.gallo@hotmail.com,M,0915065692,1993-10-30,29,Activo,Perdida gratuidad temporal,Divorciado,711f240c-74f4-11ed-8667-0242ac1c000c
91,1764693577,María Jesús Martirio,Llorens Manzanares,maría jesús.llorens@hotmail.com,F,0931237280,1981-05-13,41,Activo,Gratuidad,Divorciado,711f245c-74f4-11ed-8667-0242ac1c000c
92,659742679,Natalio Adrián,Blasco Sanchez,natalio.blasco@hotmail.com,M,0948578630,1996-11-04,26,Inactivo,Sin gratuidad,Divorciado,711f24b6-74f4-11ed-8667-0242ac1c000c
93,2043775655,Manuel Pablo,Cuadrado Torres,manuel.cuadrado@hotmail.com,M,0926986116,2005-07-30,17,Activo,Perdida gratuidad temporal,Divorciado,711f2506-74f4-11ed-8667-0242ac1c000c
94,2138247279,Patricio Gabino,Serna Benitez,patricio.serna@hotmail.com,M,0905698215,1997-07-04,25,Inactivo,Sin gratuidad,Viudo/a,711f2556-74f4-11ed-8667-0242ac1c000c
95,386523129,Javiera Mireia,Jáuregui Mariño,javiera.jáuregui@hotmail.com,F,0968851494,1988-03-10,34,Inactivo,Gratuidad,Union Libre,711f25a6-74f4-11ed-8667-0242ac1c000c
96,2055428286,Guadalupe Teobaldo,Pagès Riquelme,guadalupe.pagès@hotmail.com,M,0932795240,2004-04-13,18,Inactivo,Perdida gratuidad temporal,Casado/a,711f25ec-74f4-11ed-8667-0242ac1c000c
97,1586525617,Delfina Bibiana,Cortes Álvaro,delfina.cortes@hotmail.com,F,0933714813,1991-05-19,31,Activo,Perdida gratuidad temporal,Casado/a,711f2632-74f4-11ed-8667-0242ac1c000c
98,481517945,María Eladio,Castilla Asensio,maría.castilla@hotmail.com,M,0971784545,1983-04-08,39,Activo,Gratuidad,Soltero/a,711f2678-74f4-11ed-8667-0242ac1c000c
99,2308741970,Chucho Eduardo,Andres Español,chucho.andres@hotmail.com,M,0960125147,1984-10-12,38,Inactivo,Perdida gratuidad temporal,Soltero/a,711f26c8-74f4-11ed-8667-0242ac1c000c
100,734541878,Albert Geraldo,Corral Cantón,albert.corral@hotmail.com,M,0929218045,1994-03-23,28,Activo,Sin gratuidad,Divorciado,711f2718-74f4-11ed-8667-0242ac1c000c
101,591952837,Pastor Andrés Felipe,Serrano Roman,pastor.serrano@hotmail.com,M,0998616800,1994-04-16,28,Inactivo,Sin gratuidad,Casado/a,711f2772-74f4-11ed-8667-0242ac1c000c
102,341536108,Aurora Pacífica,Viñas Cornejo,aurora.viñas@hotmail.com,F,0933896254,1995-04-26,27,Inactivo,Gratuidad,Casado/a,711f27b8-74f4-11ed-8667-0242ac1c000c
103,2433122504,Teodoro Balduino,Villar Lamas,teodoro.villar@hotmail.com,M,0900932852,1986-04-25,36,Inactivo,Sin gratuidad,Union Libre,711f27fe-74f4-11ed-8667-0242ac1c000c
104,1843851224,Rico Anastasio,Sierra Paniagua,rico.sierra@hotmail.com,M,0999297786,1997-12-24,24,Inactivo,Sin gratuidad,Viudo/a,711f2862-74f4-11ed-8667-0242ac1c000c
105,1968812333,Sofía Rosaura,Herrero Alfaro,sofía.herrero@hotmail.com,F,0979852937,1996-05-17,26,Activo,Perdida gratuidad temporal,Viudo/a,711f28a8-74f4-11ed-8667-0242ac1c000c
106,1544483073,Alejandra Delfina,Marco Larrañaga,alejandra.marco@hotmail.com,F,0977702681,1995-03-17,27,Activo,Sin gratuidad,Casado/a,711f28f8-74f4-11ed-8667-0242ac1c000c
107,2028347581,Andrea Remedios,Pina Benet,andrea.pina@hotmail.com,F,0901272715,2001-07-10,21,Activo,Sin gratuidad,Soltero/a,711f2952-74f4-11ed-8667-0242ac1c000c
108,2455707042,Roberto Noé,Mateos Mármol,roberto.mateos@hotmail.com,M,0980326854,1996-05-15,26,Inactivo,Sin gratuidad,Casado/a,711f29a2-74f4-11ed-8667-0242ac1c000c
109,304835999,Evelia Lilia,Benitez Arenas,evelia.benitez@hotmail.com,F,0902649999,1984-12-06,37,Inactivo,Perdida gratuidad temporal,Union Libre,711f29e8-74f4-11ed-8667-0242ac1c000c
110,787947709,Araceli Chita,Godoy Roig,araceli.godoy@hotmail.com,F,0963333650,1990-12-14,31,Activo,Perdida gratuidad temporal,Divorciado,711f2a2e-74f4-11ed-8667-0242ac1c000c
111,1399089863,María José Estrella,Ruano Blazquez,maría josé.ruano@hotmail.com,F,0947049449,1991-07-09,31,Activo,Gratuidad,Viudo/a,711f2a7e-74f4-11ed-8667-0242ac1c000c
112,354941503,Cirino Maximiano,Cuervo Yáñez,cirino.cuervo@hotmail.com,M,0999783214,1983-12-01,39,Inactivo,Perdida gratuidad temporal,Viudo/a,711f2ac4-74f4-11ed-8667-0242ac1c000c
113,759495790,Alberto Pastor,Prada Giner,alberto.prada@hotmail.com,M,0903542378,1993-09-15,29,Inactivo,Gratuidad,Soltero/a,711f2b14-74f4-11ed-8667-0242ac1c000c
114,1523078129,Baldomero Victor,Riera León,baldomero.riera@hotmail.com,M,0961256138,1999-06-18,23,Activo,Sin gratuidad,Viudo/a,711f2b64-74f4-11ed-8667-0242ac1c000c
115,1321394198,Olalla Miguela,Haro Escamilla,olalla.haro@hotmail.com,F,0920058630,2006-07-12,16,Inactivo,Perdida gratuidad temporal,Soltero/a,711f2baa-74f4-11ed-8667-0242ac1c000c
116,2400508263,Nélida Custodia,Abellán Cánovas,nélida.abellán@hotmail.com,F,0969477405,1997-04-05,25,Activo,Gratuidad,Soltero/a,711f2bfa-74f4-11ed-8667-0242ac1c000c
117,306901159,Simón Yago,Trillo Giralt,simón.trillo@hotmail.com,M,0915018869,2004-06-12,18,Inactivo,Gratuidad,Soltero/a,711f2c40-74f4-11ed-8667-0242ac1c000c
118,2160747149,José Ángel Marcio,Alfonso Nevado,josé ángel.alfonso@hotmail.com,M,0978065852,2001-11-25,21,Activo,Sin gratuidad,Divorciado,711f2c86-74f4-11ed-8667-0242ac1c000c
119,1133468488,Mohamed Tadeo,Guardia Jerez,mohamed.guardia@hotmail.com,M,0904963901,1995-05-22,27,Activo,Perdida gratuidad temporal,Soltero/a,711f2cd6-74f4-11ed-8667-0242ac1c000c
120,299962237,Humberto Baltasar,Vicens Ródenas,humberto.vicens@hotmail.com,M,0950874277,1999-01-24,23,Inactivo,Sin gratuidad,Casado/a,711f2d1c-74f4-11ed-8667-0242ac1c000c
121,200231716,Elvira María Luisa,Lobo Carnero,elvira.lobo@hotmail.com,F,0989622548,1980-12-19,41,Inactivo,Gratuidad,Casado/a,711f2d8a-74f4-11ed-8667-0242ac1c000c
122,1859082280,Casandra Paula,Laguna Matas,casandra.laguna@hotmail.com,F,0944813477,1995-08-14,27,Activo,Gratuidad,Viudo/a,711f2de4-74f4-11ed-8667-0242ac1c000c
123,1809590719,Nicanor Adán,Morata Frutos,nicanor.morata@hotmail.com,M,0948680729,1985-03-19,37,Inactivo,Perdida gratuidad temporal,Viudo/a,711f2e2a-74f4-11ed-8667-0242ac1c000c
124,1959939186,Angelino Galo,Ureña Zabala,angelino.ureña@hotmail.com,M,0982929385,1994-08-23,28,Inactivo,Perdida gratuidad temporal,Soltero/a,711f2e7a-74f4-11ed-8667-0242ac1c000c
125,882318316,Joel Bernabé,Chacón Peñalver,joel.chacón@hotmail.com,M,0946584722,2003-10-15,19,Activo,Perdida gratuidad temporal,Union Libre,711f2ec0-74f4-11ed-8667-0242ac1c000c
126,1238897598,León Che,Marqués Arroyo,león.marqués@hotmail.com,M,0920553359,1995-07-20,27,Activo,Gratuidad,Casado/a,711f2f06-74f4-11ed-8667-0242ac1c000c
127,1004106652,Laura Rita,Pellicer Velázquez,laura.pellicer@hotmail.com,F,0954503131,1986-03-18,36,Inactivo,Sin gratuidad,Divorciado,711f2f4c-74f4-11ed-8667-0242ac1c000c
128,2244933012,Andrés Maximiano,Alsina Herrera,andrés.alsina@hotmail.com,M,0929519037,1989-04-07,33,Inactivo,Gratuidad,Viudo/a,711f2f92-74f4-11ed-8667-0242ac1c000c
129,2298964906,Román Rubén,Huerta Múñiz,román.huerta@hotmail.com,M,0907333229,2004-11-15,18,Inactivo,Perdida gratuidad temporal,Casado/a,711f2fd8-74f4-11ed-8667-0242ac1c000c
130,1697534490,Lucía Isidora,Verdugo Cabeza,lucía.verdugo@hotmail.com,F,0934902931,2003-03-20,19,Activo,Sin gratuidad,Divorciado,711f3028-74f4-11ed-8667-0242ac1c000c
131,1586633976,Bienvenida Rosalinda,Frías Abellán,bienvenida.frías@hotmail.com,F,0955772225,1992-03-04,30,Activo,Perdida gratuidad temporal,Casado/a,711f3078-74f4-11ed-8667-0242ac1c000c
132,846012804,Domitila Ainara,Aramburu Montserrat,domitila.aramburu@hotmail.com,F,0959399118,1995-09-03,27,Inactivo,Sin gratuidad,Soltero/a,711f30be-74f4-11ed-8667-0242ac1c000c
133,877757284,Josué Leandro,Nuñez Valera,josué.nuñez@hotmail.com,M,0987935061,2002-05-07,20,Activo,Perdida gratuidad temporal,Soltero/a,711f3104-74f4-11ed-8667-0242ac1c000c
